2023.03.12 09:25:06 unit2.MyLog loggerInit	INFO  		

------------------------------------------------------------

2023.03.12 09:25:06 unit2.MyLog loggerInit	INFO  		Логирование инициализировано
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Кактус (2м)🎋 подошел Терминатор Т-1000🤺.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Терминатор Т-1000🤺 перепрыгнул успешно
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 30 км/ч🛴🛴🛴 подошел Чемпион💪.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Чемпион💪 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 30 км/ч🛴🛴🛴 подошел Кот в сапогах👢.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Кот в сапогах👢 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 30 км/ч🛴🛴🛴 подошел Терминатор Т-1000🤺.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Терминатор Т-1000🤺 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Пальма (3м)🌴 подошел Чемпион💪.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Чемпион💪 не перелез ❌
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Пальма (3м)🌴 подошел Кот в сапогах👢.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Кот в сапогах👢 перепрыгнул успешно
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Пальма (3м)🌴 подошел Терминатор Т-1000🤺.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Терминатор Т-1000🤺 перепрыгнул успешно
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  FINISH
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Победители соревнования 👑: Кот в сапогах👢; Терминатор Т-1000🤺; 
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Фотофиниш 🥇🥈🥉
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  💪     |  - 🛴 - 🚧 - 🛴🛴 - 🎋 - 🛴🛴🛴 - 🌴❌
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  🤩     |  - 🛴 - 🚧 - 🛴🛴 - 🎋❌
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  🐈     |  - 🛴 - 🚧 - 🛴🛴❌
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  👢     |  - 🛴 - 🚧 - 🛴🛴 - 🎋 - 🛴🛴🛴 - 🌴    🥇
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  💀     |  - 🛴 - 🚧 - 🛴🛴❌
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  🤺     |  - 🛴 - 🚧 - 🛴🛴 - 🎋 - 🛴🛴🛴 - 🌴    🥇
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  🦽     |  - 🛴 - 🚧❌
